nama,kalori,lemak,karbs,protein,sodium,kolesterol
Kacang Kemiri Sangrai Kering (dengan Tambahan Garam),710,"74,27g","13,55g","9,5g",,
Kacang Kemiri Kering Sangrai (tanpa Tambahan Gula),710,"74,27g","13,55g","9,5g",,
Kacang Kemiri,691,"71,97g","13,86g","9,17g",,
Kacang Almond,578,"50,64g","19,74g","21,26g",,
Kacang Tanah,567,"49,24g","16,13g","25,8g",,
Kacang Campuran,876,"79,95g","30,64g","23,44g",,
Kacang Tawar Sangrai Kering,6,"0,5g","0,22g","0,24g",,
Kacang Asin Sangrai Kering,585,"49,66g","21,51g","23,68g",,
Kacang Mete Sangrai Tawar,580,"47,77g","29,87g","16,84g",,
Kacang Mete Sangrai Asin,581,"47,77g","30,16g","16,84g",,
Kacang Mete,581,"47,77g","30,16g","16,84g",,
Kacang Kedelai,471,"25,4g","33,55g","35,22g",,
Kacang Campuran Sangrai,886,"80,88g","32,07g","22,35g",,
Kacang Campuran Sangrai Kering,814,"70,49g","34,73g","23,7g",,
Almond Sangrai Kering (dengan Tambahan Garam),169,"14,98g","5,47g","6,26g",,
Kacang Almond Panggang Kering (tanpa Tambahan Garam),169,"14,98g","5,47g","6,26g",,
Biji Bunga Matahari Kering,570,"49,57g","18,76g","22,78g",,
Biji Bunga Matahari  Sangrai Kering(dengan Tambahan Garam),582,"49,8g","24,07g","19,33g",,
Biji Wijen Kering Utuh,52,"4,47g","2,11g","1,6g",,
Biji Bunga Matahari Kering (tanpa Garam),582,"49,8g","24,07g","19,33g",,
Biji Bunga Matahari (yang) Dikuliti Sangrai Kering,582,"49,8g","24,07g","19,33g",,
Kacang Kemiri Sangrai Kering (dengan Tambahan Garam),710,"74,27g","13,55g","9,5g",383mg,0mg
Kacang Kemiri Kering Sangrai (tanpa Tambahan Gula),710,"74,27g","13,55g","9,5g",1mg,0mg
Kacang Kemiri,691,"71,97g","13,86g","9,17g",0mg,0mg
Kacang Almond,578,"50,64g","19,74g","21,26g",1mg,0mg
Kacang Tanah,567,"49,24g","16,13g","25,8g",18mg,0mg
Kacang Campuran,876,"79,95g","30,64g","23,44g",562mg,0mg
Kacang Tawar Sangrai Kering,6,"0,5g","0,22g","0,24g",0mg,0mg
Kacang Asin Sangrai Kering,585,"49,66g","21,51g","23,68g",813mg,0mg
Kacang Mete Sangrai Tawar,580,"47,77g","29,87g","16,84g",13mg,0mg
Kacang Mete Sangrai Asin,581,"47,77g","30,16g","16,84g",308mg,0mg
Kacang Mete,581,"47,77g","30,16g","16,84g",308mg,0mg
Kacang Kedelai,471,"25,4g","33,55g","35,22g",163mg,0mg
Kacang Campuran Sangrai,886,"80,88g","32,07g","22,35g",441mg,0mg
Kacang Campuran Sangrai Kering,814,"70,49g","34,73g","23,7g",917mg,0mg
Almond Sangrai Kering (dengan Tambahan Garam),169,"14,98g","5,47g","6,26g",96mg,0mg
Kacang Almond Panggang Kering (tanpa Tambahan Garam),169,"14,98g","5,47g","6,26g",0mg,0mg
Biji Bunga Matahari Kering,570,"49,57g","18,76g","22,78g",3mg,0mg
Biji Bunga Matahari  Sangrai Kering(dengan Tambahan Garam),582,"49,8g","24,07g","19,33g",410mg,0mg
Biji Wijen Kering Utuh,52,"4,47g","2,11g","1,6g",1mg,0mg
Biji Bunga Matahari Kering (tanpa Garam),582,"49,8g","24,07g","19,33g",3mg,0mg
Biji Bunga Matahari (yang) Dikuliti Sangrai Kering,582,"49,8g","24,07g","19,33g",410mg,0mg
